Mission_time,Temp1,Temp2,Pressure1,Pressure2,Temp3,Temp4,Pressure3,Pressure4,Temp5,Temp6,Pressure5,Pressure6,Pressurant_Fill_Indicator,Pressurant_Oxidizer_Indicator,Oxidizer_Fill_Indicator,Oxidizer_Combustion_Indicator
199.06,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
200.07,176.76,0.00,49.17,0.00,181.15,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
201.07,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
202.08,176.76,0.00,49.17,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
203.09,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
204.09,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
205.10,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
206.10,176.27,0.00,49.00,0.00,180.18,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
207.11,176.76,0.00,49.17,0.00,181.15,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
208.11,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
209.12,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
210.12,176.27,0.00,49.00,0.00,180.66,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
211.13,177.25,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
212.13,176.27,0.00,49.00,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
213.14,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
214.15,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
215.15,177.25,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
216.16,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
217.16,176.27,0.00,49.00,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
218.17,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
219.17,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
